Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2013-05-23,Ply Gem Holdings ,PGEM,"J.P. Morgan/ Credit Suisse/ Goldman, Sachs/ UBS Investment Bank/ Deutsche Bank Securities",21.0,22.35,23.3,10.95,1.35,2.3
2013-05-31,Epizyme ,EPZM,Citigroup/ Cowen and Company/ Leerink Swann,15.0,20.0,22.99,53.27,5.0,7.99
2013-06-05,RCS Capital ,RCAP,JMP Securities/ Ladenburg Thalmann,20.0,19.75,19.78,-1.1,-0.25,-0.22
2013-06-06,"LightInTheBox Holding Co., Ltd.   ",LITB,Credit Suisse/ Stifel,9.5,11.16,11.61,22.21,1.66,2.11
2013-06-07,Textura   ,TXTR,Credit Suisse/ William Blair,15.0,24.0,20.94,39.6,9.0,5.94
2013-06-12,Gigamon ,GIMO,"Goldman, Sachs/ BofA Merrill Lynch/ Credit Suisse",19.0,23.08,28.47,49.84,4.08,9.47
2013-06-13,Coty  ,COTY,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Barclays/ Deutsche Bank Securities/ Wells Fargo Securities,17.5,17.3,17.36,-0.8,-0.2,-0.14
2013-06-20,bluebird bio ,BLUE,J.P. Morgan/ BofA Merrill Lynch,17.0,25.72,26.39,55.24,8.72,9.39
2013-06-21,Gogo ,GOGO,Morgan Stanley/ J .P. Morgan/ UBS Securities,17.0,16.0,16.0,-5.88,-1.0,-1.0
2013-06-21,PTC Therapeutics   ,PTCT,J.P. Morgan/ Credit Suisse,15.0,15.85,16.49,9.93,0.85,1.49
2013-06-26,Esperion Therapeutics ,ESPR,Credit Suisse/ Citigroup,15.0,17.0,14.5,-3.33,2.0,-0.5
2013-06-26,Luxoft Holding ,LXFT,UBS Investment Bank/ Credit Suisse/ J.P. Morgan,17.0,18.55,20.3,19.41,1.55,3.3
2013-06-26,NanoString Technologies ,NSTG,J.P. Morgan/ Morgan Stanley,10.0,9.9,8.06,-19.4,-0.1,-1.94
2013-06-27,Aratana Therapeutics  ,PETX,Stifel/ Lazard Capital Markets,6.0,7.0,8.26,37.67,1.0,2.26
2013-06-27,CDW Corp  ,CDW,"J.P. Morgan/ Barclays/ Goldman, Sachs",17.0,17.68,18.37,8.06,0.68,1.37
2013-06-27,HD Supply Holdings ,HDS,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Credit Suisse,18.02,18.55,18.66,3.55,0.53,0.64
2013-06-27,MedWorth Acquisition ,MWRX,EarlyBirdCapital,8.0,8.01,8.01,0.12,0.01,0.01
2013-06-27,Silvercrest Asset Management Group (SAMG),SAMG,Sandler ONeill & Partners/ Raymond James,11.0,11.4,11.83,7.55,0.4,0.83
2013-06-27,Tremor Video  ,TRMR,Credit Suisse/ Jefferies,10.0,11.0,8.5,-15.0,1.0,-1.5
2013-06-28,Noodles & Company ,NDLS,Morgan Stanley/ UBS Securities,18.0,32.0,36.75,104.17,14.0,18.75
2013-06-28,Prosensa Holding B.V. ,RNA,J.P. Morgan/ Citigroup/ Leerink Swann,13.0,20.0,19.25,48.08,7.0,6.25
2013-07-12,Fifth Street Senior Floating Rate (  FSFR),FSFR,  Morgan Stanley/ Deutsche Bank Securities/ UBS Investment Bank/ Barclays/ RBC Capital Markets/ Oppenheimer,15.0,14.12,14.15,-5.67,-0.88,-0.85
2013-07-17,NRG Yield  ,NYLD,BofA Merrill Lynch,22.0,26.69,27.25,23.86,4.69,5.25
2013-07-18,UCP ,UCP,Citigroup/ Deutsche Bank Securities/ Zelman Partners LLC,15.0,17.75,14.0,-6.67,2.75,-1.0
2013-07-18,OncoMed Pharmaceuticals ,OMED,Jefferies/ Leerink Swann,17.0,28.16,27.18,59.88,11.16,10.18
2013-07-19,Diamond Resorts International ,DRII,Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan/ Guggenheim Securities,14.0,14.56,16.15,15.36,0.56,2.15
2013-07-19,Physicians Realty Trust ,DOC,Wunderlich Securities/ Oppenheimer/ Janney Montgomery Scott/ JMP Securities/ BB&T Capital Markets,11.5,11.5,11.67,1.48,0.0,0.17
2013-07-19,RetailMeNot ,SALE,Morgan Stanley/ Goldman Sachs/ Credit Suisse,21.0,26.5,27.7,31.9,5.5,6.7
2013-07-19,Rexford Industrial Realty ,REXR,BofA Merrill Lynch/ Wells Fargo Securities/ FBR,14.0,14.75,14.04,0.29,0.75,0.04
2013-07-23,Phillips 66 Partners LP  ,PSXP,J.P. Morgan/ Morgan Stanley,23.0,28.98,29.7,29.13,5.98,6.7
2013-07-24,Agios Pharmaceuticals ,AGIO,"J.P. Morgan/ Goldman, Sachs & Co.",18.0,29.0,31.28,73.78,11.0,13.28
2013-07-24,Heat Biologics ,HTBX,Aegis Capital Corp.,10.0,10.0,9.57,-4.3,0.0,-0.43
2013-07-24,Jones Energy ,JONE,J.P. Morgan/ Barclays/ Wells Fargo Securities,15.0,14.04,13.83,-7.8,-0.96,-1.17
2013-07-25,Cellular Dynamics International ,ICEL,J.P. Morgan,12.0,11.0,9.5,-20.83,-1.0,-2.5
2013-07-25,Conatus Pharmaceuticals ,CNAT,Stifel/ Piper Jaffray,11.0,11.21,9.5,-13.64,0.21,-1.5
2013-07-25,Onconova Therapeutics ,ONTX,Citigroup/ Leerink Swann,15.0,25.0,19.88,32.53,10.0,4.88
2013-07-25,Silver Eagle Acquisition ,EAGLU,Deutsche Bank Securities,10.0,10.0,10.0,0.0,0.0,0.0
2013-07-25,WCI Communities ,WCIC,Citigroup/ Credit Suisse/ J.P. Morgan,15.0,15.25,15.12,0.8,0.25,0.12
2013-07-26,"Marlin Midstream Partners, LP  ",FISH,Stifel/ Baird/ Oppenheimer,20.0,19.51,19.5,-2.5,-0.49,-0.5
2013-07-26,Liquid Holdings Group ,LIQD,Sandler ONeill & Partners,9.0,9.06,7.64,-15.11,0.06,-1.36
2013-08-01,Sprouts Farmers Markets ,SFM,"Goldman, Sachs/ Credit Suisse/ BofA Merrill Lynch",18.0,35.0,40.11,122.83,17.0,22.11
2013-08-01,Ardmore Shipping ,ASC,Morgan Stanley/ Jefferies/ Clarkson Capital Markets,14.0,13.5,15.6,11.43,-0.5,1.6
2013-08-01,American Homes 4 Rent  ,AMH,"Goldman, Sachs/ BofA Merrill Lynch/ J.P. Morgan/ Wells Fargo Securities",16.0,15.59,13.5,-15.63,-0.41,-2.5
2013-08-02,Athlon Energy  ,ATHL,Citigroup,20.0,26.0,27.56,37.8,6.0,7.56
2013-08-02,Control4 Corporation   ,CTRL,BofA Merrill Lynch/ Raymond James,16.0,18.7,20.5,28.13,2.7,4.5
2013-08-02,Marrone Bio Innovations ,MBII,Jefferies/ Piper Jaffray,12.0,13.09,13.75,14.58,1.09,1.75
2013-08-07,YuMe  ,YUME,Citigroup/ Deutsche Bank Securities,9.0,9.0,9.0,0.0,0.0,0.0
2013-08-08,Fox Factory Holding  ,FOXF,Baird/ William Blair/ Piper Jaffray,15.0,18.22,18.61,24.07,3.22,3.61
2013-08-08,Intrexon ,XONE,J.P. Morgan/ Barclays,16.0,21.1,24.73,54.56,5.1,8.73
2013-08-09,"QEP Midstream Partners, LP ",QEPM,"Wells Fargo Securities/ Morgan Stanley/ Citigroup/ Deutsche Bank Securities/ J.P. Morgan/ Goldman, Sachs",21.0,23.37,22.25,5.95,2.37,1.25
2013-08-09,Cvent  ,CVT,"Morgan Stanley/ Goldman, Sachs",21.0,38.0,32.92,56.76,17.0,11.92
2013-08-09,Franks International N.V. ,FI,Barclays/ Credit Suisse/ Simmons & Company,22.0,27.25,26.35,19.77,5.25,4.35
2013-08-09,Quinpario Acquisition ,QPACU,C&Co/PrinceRidge,10.0,10.0,10.04,0.4,0.0,0.04
2013-08-09,Stock Building Supply Holdings ,STCK,"Goldman, Sachs/ Barclays/ Citigroup",14.0,14.76,14.43,3.07,0.76,0.43
2013-08-09,"World Point Terminals, LP ",WPT,BofA Merrill Lynch,20.0,19.5,19.56,-2.2,-0.5,-0.44
2013-08-13,China Commercial Credit  ,CCCR,Burnham Securities,6.5,6.0,6.39,-1.69,-0.5,-0.11
2013-08-13,Independence Realty Trust ,IRT,Ladenburg Thalmann/ Compass Point/ JMP Securities,8.5,8.09,8.45,-0.59,-0.41,-0.05
2013-08-14,Envision Healthcare Holdings ,EVH,"Goldman, Sachs/ Barclays/ BofA Merrill Lynch/ Citigroup",23.0,25.25,25.15,9.35,2.25,2.15
2013-08-15,Third Point Reinsurance ,TPRE,J.P. Morgan/ Credit Suisse/ Morgan Stanley/ BofA Merrill Lynch/ Citigroup,12.5,12.25,13.06,4.48,-0.25,0.56
2013-08-22,Regado Biosciences ,RGDO,Cowen and Company/ BMO Capital Markets,4.0,5.0,4.7,17.5,1.0,0.7
2013-09-13,OCI Resources LP   ,OCIR,"Citigroup/ Goldman, Sachs",19.0,18.25,18.0,-5.26,-0.75,-1.0
2013-09-17,ROI Acquisition Corp. II  ,ROIQU,Deutsche Bank Securities,10.0,10.0,10.0,0.0,0.0,0.0
2013-09-18,Benefitfocus ,BNFY,"Goldman, Sachs/ Deutsche Bank Securities/ Jefferies",26.5,42.27,53.55,102.08,15.77,27.05
2013-09-18,Five Prime Therapeutics ,FPRX,Jefferies/ BMO Capital Markets/ Wells Fargo Securities,13.0,16.0,13.08,0.62,3.0,0.08
2013-09-18,Volaris Aviation Holding  ,VLRS,Deutsche Bank Securities/ Morgan Stanley / UBS Investment Bank,12.0,12.76,14.01,16.75,0.76,2.01
2013-09-19,Acceleron Pharma  ,XLRN,Citigroup/ Leerink Swann,15.0,18.86,19.99,33.27,3.86,4.99
2013-09-20,BIND Therapeutics ,BIND,Credit Suisse/ Cowen and Company,15.0,15.0,14.09,-6.07,0.0,-0.91
2013-09-20,ClubCorp Holdings ,MYCC,"Goldman, Sachs/ Jefferies/ Citigroup",14.0,15.25,14.5,3.57,1.25,0.5
2013-09-20,FireEye ,FEYE,"Morgan Stanley, Goldman, Sachs/ J.P. Morgan/ Barclays/",20.0,40.3,36.0,80.0,20.3,16.0
2013-09-20,Rocket Fuel   ,FUEL,Credit Suisse/ Citigroup,29.0,59.95,56.1,93.45,30.95,27.1
2013-09-25,Ophthotech  ,OPHT,Morgan Stanley/ J.P. Morgan,22.0,23.06,26.3,19.55,1.06,4.3
2013-09-25,Foundation Medicine ,FMI,"Goldman, Sachs/ J.P. Morgan",18.0,31.5,35.35,96.39,13.5,17.35
2013-09-25,Capitala Finance ,CPTA,Deutsche Bank Securities/ UBS Investment Bank/ Barclays,20.0,19.15,18.8,-6.0,-0.85,-1.2
2013-09-25,Evoke Pharma ,EVOK,Aegis Capital Corp.,12.0,11.15,11.74,-2.17,-0.85,-0.26
2013-09-26,Applied Optoelectronics  ,AAOI,Raymond James/ Piper Jaffray,10.0,10.0,9.96,-0.4,0.0,-0.04
2013-09-26,Covisint ,COVS,Credit Suisse/ Pacific Crest Securities,10.0,12.6,12.31,23.1,2.6,2.31
2013-09-26,Montage Technology Group ,MONT,Deutsche Bank Securities/ Barclays/ Stifel,10.0,10.0,12.8,28.0,0.0,2.8
2013-09-26,Premier ,PINC,J.P. Morgan/ BofA Merrill Lynch/ Wells Fargo Securities,27.0,31.0,30.65,13.52,4.0,3.65
2013-09-27,Pattern Energy Group ,PEGI,BMO Capital Markets/ RBC Capital Markets/ Morgan Stanley,22.0,24.1,23.27,5.77,2.1,1.27
2013-09-27,Enzymotec ,ENZY,BofA Merrill Lynch/ Jefferies,14.0,14.25,18.16,29.71,0.25,4.16
2013-09-27,Violin Memory ,VMEN,J.P. Morgan/ Deutsche Bank Securities/ BofA Merrill Lynch,9.0,7.5,7.02,-22.0,-1.5,-1.98
2013-09-27,RingCentral ,RNG,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch",13.0,17.25,18.2,40.0,4.25,5.2
2013-10-01,Fate Therapeutics  ,FATE,Cowen and Company/ BMO Capital Markets,6.0,6.56,6.62,10.33,0.56,0.62
2013-10-02,Burlington Holdings  ,BURL,"J.P. Morgan/ Goldman, Sachs/ Morgan Stanley/ BofA Merrill Lynch/ Wells Fargo Securities",17.0,23.05,25.01,47.12,6.05,8.01
2013-10-02,Empire State Realty Trust ,ESRT,"Goldman, Sachs/ BofA Merrill Lynch",13.0,13.05,13.1,0.77,0.05,0.1
2013-10-02,RE/MAX Holdings ,RMAX,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,22.0,26.25,27.0,22.73,4.25,5.0
2013-10-03,OCI Partners LP,OCIP,BofA Merrill Lynch/ Barclays/ Citigroup,18.0,17.25,18.8,4.44,-0.75,0.8
2013-10-03,Potbelly Corporation ,PBPB,"BofA Merrill Lynch/ Goldman, Sachs",14.0,28.75,30.44,117.43,14.75,16.44
2013-10-03,Cherry Hill Mortgage Investment ,CHMI,Barclays/ Morgan Stanley/ Citigroup/ UBS Investment Bank,20.0,18.5,18.48,-7.6,-1.5,-1.52
2013-10-09,SFX Entertainment   ,SFXE,UBS Investment Bank/ Jefferies/ Deutsche Bank Securitie,13.0,13.03,11.89,-8.54,0.03,-1.11
2013-10-09,LDR Holding ,LDRH,"Piper Jaffray/ William Blair/ Bryan, Garnier",15.0,18.5,19.35,29.0,3.5,4.35
2013-10-09,QTS Realty Trust   ,QTS,"Goldman, Sachs/ Jefferies",21.0,22.4,21.0,0.0,1.4,0.0
2013-10-10,"Western Refining Logistics, LP  ",WNRL,BofA Merrill Lynch/ Barclays/ Goldman Sachs/ Wells Fargo Securities,22.0,24.0,24.1,9.55,2.0,2.1
2013-10-10,Antero Resources ,AR,Barclays/ Citigroup/ J.P. Morgan,44.0,54.15,52.01,18.2,10.15,8.01
2013-10-10,MacroGenics ,MGNX,BofA Merrill Lynch/ Leerink Swann,16.0,24.0,24.99,56.19,8.0,8.99
2013-10-10,Stonegate Mortgage ,SGM,BofA Merrill Lynch/ Credit Suisse/ Barclays/ FBR,16.0,17.18,18.25,14.06,1.18,2.25
2013-10-16,"Plains GP Holdings, L.P. ",PAGP,Barclays/ Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Citigroup/ UBS Investment Bank/ Wells Fargo Securities,22.0,22.8,22.0,0.0,0.8,0.0
2013-10-16,Veeva Systems ,VEEV,Morgan Stanley/ Deutsche Bank Securities,20.0,38.5,37.16,85.8,18.5,17.16
2013-10-16,Springleaf Holdings  ,LEAF,BofA Merrill Lynch/ Barclays/ Citigroup/ Credit Suisse,17.0,19.18,19.26,13.29,2.18,2.26
2013-10-17,ADMA Biologics ,ADMA,Oppenheimer & Co.,8.5,7.0,8.55,0.59,-1.5,0.05
2013-10-18,voxeljet AG  ,VJET,Piper Jaffray/ Citigroup,13.0,20.0,28.8,121.54,7.0,15.8
2013-10-24,Global Defense & National Security Systems  ,GDEF,Cowen and Company,10.0,10.0,10.01,0.1,0.0,0.01
2013-10-25,Aerie Pharmaceuticals  ,AERI,RBC Capital Markets/ Stifel,10.0,10.51,10.61,6.1,0.51,0.61
2013-10-25,CommScope Holding ,COMM,J.P. Morgan/ Deutsche Bank Securities/ BofA Merrill Lynch,15.0,15.0,14.99,-0.07,0.0,-0.01
2013-10-25,Endurance International Group Holdings ,EIGI,"Goldman, Sachs/ Credit Suisse/ Morgan Stanley",12.0,11.0,11.25,-6.25,-1.0,-0.75
2013-10-25,Sprague Resources LP ,SRLP,Barclays/ J.P. Morgan/ BofA Merrill Lynch,18.0,17.5,17.75,-1.39,-0.5,-0.25
2013-10-29,Quartet Merger ,QTETU,EarlyBirdCapital,10.0,10.01,10.05,0.5,0.01,0.05
2013-10-30,Brixmor Property Group ,BRX,BofA Merrill Lynch/ Citigroup/ J.P. Morgan/ Wells Fargo Securities/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets/ UBS Investment Bank,20.0,20.65,20.4,2.0,0.65,0.4
2013-10-30,Criteo S.A.  ,CRTO,J.P. Morgan/ Deutsche Bank Securities/ Jefferies/ Stifel,31.0,42.0,35.39,14.16,11.0,4.39
2013-10-30,Veracyte ,VCYT,Morgan Stanley/ Leerink Swann,13.0,13.03,13.25,1.92,0.03,0.25
2013-10-30,Surgical Care Affiliates  ,SCAI,J.P. Morgan/ Citigroup,24.0,28.0,27.1,12.92,4.0,3.1
2013-10-31,58.com ,WUBA,Morgan Stanley/ Credit Suisse/ Citigroup,17.0,21.2,24.12,41.88,4.2,7.12
2013-10-31,Essent Group Ltd.  ,ESNT,"Goldman, Sachs/ J.P. Morgan/ Credit Suisse/ Barclays",17.0,22.01,21.0,23.53,5.01,4.0
2013-10-31,Marcus & Millichap  ,MMI,Citigroup/ Goldman Sachs,12.0,13.4,13.42,11.83,1.4,1.42
2013-11-01,Container Store Group   ,TCS,J.P. Morgan/ Barclays/ Credit Suisse,18.0,35.0,36.2,101.11,17.0,18.2
2013-11-01,Qunar Cayman Islands Ltd.   ,QUNR,Goldman Sachs (Asia)/ Deutsche Bank Securities,15.0,28.35,28.4,89.33,13.35,13.4
2013-11-06,Arc Logistics Partners LP ,ARCX,Citigroup/ Barclays/ SunTrust Robinson Humphrey,19.0,19.0,19.0,0.0,0.0,0.0
2013-11-06,Avianca Holdings S.A.  ,AVH,J.P. Morgan/ Citigroup,15.0,14.0,14.0,-6.67,-1.0,-1.0
2013-11-06,Wix.com Ltd.  ,WIX,J.P. Morgan/ BofA Merrill Lynch/ RBC Capital Markets,16.5,18.5,16.31,-1.15,2.0,-0.19
2013-11-06,Barracuda Networks   ,CUDA,Morgan Stanley/ J.P. Morgan Securities/ BofA Merrill Lynch,18.0,22.59,21.55,19.72,4.59,3.55
2013-11-06,Blue Capital Reinsurance Holdings ,BCRH,"Deutsche Bank Securities/ UBS Investment Bank/ Barclays/ Keefe, Bruyette & Woods (A Stifel Company)",20.0,19.45,18.9,-5.5,-0.55,-1.1
2013-11-06,Karyopharm Therapeutics ,KPTI,BofA Merrill Lynch/ Leerink Swann,16.0,17.86,16.05,0.31,1.86,0.05
2013-11-07,Twitter  ,TWTR,Goldman Sachs/ Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ Deutsche Bank Securities,26.0,45.1,44.9,72.69,19.1,18.9
2013-11-07,StoneCastle Financial ,BANX,"Keefe, Bruyette & Woods (A Stifel Company)/ Baird/ Oppenheimer",25.0,25.0,25.0,0.0,0.0,0.0
2013-11-07,LGI Homes  ,LGIH, Deutsche Bank Securities/ JMP Securities/ J.P. Morgan ,11.0,12.13,12.9,17.27,1.13,1.9
2013-11-07,"Midcoast Energy Partners, L.P.  ",MEP,BofA Merrill Lynch/ Barclays/ Citigroup/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Wells Fargo Securities/ UBS Investment Bank,18.0,17.0,17.49,-2.83,-1.0,-0.51
2013-11-07,Mavenir Systems ,MVNR,Morgan Stanley/ BofA Merrill Lynch/ Deutsche Bank Securities,10.0,11.25,9.64,-3.6,1.25,-0.36
2013-11-07,Norcraft Companies ,NCFT,Citigroup/ UBS Investment Bank/ Deutsche Bank Securities/ RBC Capital Markets,16.0,15.75,15.5,-3.13,-0.25,-0.5
2013-11-08,NMI Holdings ,NMIH,FBR,13.0,14.0,14.0,7.69,1.0,1.0
2013-11-08,JGWPT Holdings ,JGW,Barclays/ Credit Suisse,14.0,13.37,12.82,-8.43,-0.63,-1.18
2013-11-13,Dynagas LNG Partners LP ,DLNG,Credit Suisse,18.0,17.0,18.0,0.0,-1.0,0.0
2013-11-13,Extended Stay America/ ESH Hospitality ,STAY,"Deutsche Bank Securities/ Goldman, Sachs/ J.P. Morgan",20.0,22.75,23.87,19.35,2.75,3.87
2013-11-13,Chegg ,CHGG,J.P. Morgan/ BofA Merrill Lynch,12.5,10.87,9.68,-22.56,-1.63,-2.82
2013-11-14,Levy Acquisition ,LEVYU,Citigroup,10.0,9.95,10.02,0.2,-0.05,0.02
2013-11-14,Tandem Diabetes Care ,TNDM,BoA Merrill Lynch/ Piper Jaffray,15.0,19.5,19.26,28.4,4.5,4.26
2013-11-14,Houghton Mifflin Harcourt ,HMHC,"Goldman, Sachs/ Morgan Stanley",12.0,14.0,15.86,32.17,2.0,3.86
2013-11-15,zulily ,ZU,Goldman Sachs/ BofA Merrill Lynch/ Citigroup,15.0,19.5,19.26,28.4,4.5,4.26
2013-11-15,Relypsa ,RLYP,Morgan Stanley/ BofA Merrill Lynch,11.0,12.59,12.24,11.27,1.59,1.24
2013-11-21,Navigator Holdings Ltd ,NVGS,Jefferies/ Morgan Stanley,19.0,20.4,20.0,5.26,1.4,1.0
2013-11-22,500.com Ltd  ,WBAI,Deutsche Bank Securities,13.0,20.0,20.01,53.92,7.0,7.01
2013-11-22,Oxford Immunotec Global PLC ,OXFD,J.P. Morgan/ Piper Jaffray,12.0,14.0,15.4,28.33,2.0,3.4
2013-11-22,Sungy Mobile ,GOMO,Credit Suisse/ J.P. Morgan,11.22,14.11,13.35,18.98,2.89,2.13
2013-11-22,Vince Holding  ,VNCE,Goldman Sachs/ Baird,20.0,29.5,28.66,43.3,9.5,8.66
2013-12-03,Xencor ,XNCR,Credit Suisse/ Leerink Swann,5.5,5.95,8.34,51.64,0.45,2.84
2013-12-11,Autohome  ,ATHM,Deutsche Bank Securities/ Goldman Sachs (Asia) L.L.C.,17.0,30.16,30.07,76.88,13.16,13.07
2013-12-11,Valero Energy Partners LP ,VLP,J.P. Morgan/ Barclays,23.0,28.25,28.0,21.74,5.25,5.0
2013-12-12,ARAMARK Holdings ,ARMK,"Goldman, Sach/ J.P. Morgan / Credit Suisse/ Morgan Stanley",20.0,20.25,22.7,13.5,0.25,2.7
2013-12-12,CatchMark Timber Trust  ,CTT,Raymond James,13.5,13.5,13.5,0.0,0.0,0.0
2013-12-12,Kindred Biosciences  ,KIN,BMO Capital Markets/ Guggenheim Securities,7.0,8.75,11.95,70.71,1.75,4.95
2013-12-12,TetraLogic Pharmaceuticals ,TLOG,Oppenheimer & Co.,7.0,7.0,7.0,0.0,0.0,0.0
2013-12-12,Hilton Worldwide Holdings   ,HLT,"Deutsche Bank Securities/ Goldman, Sachs/ BofA Merrill Lynch/ Morgan Stanley",20.0,21.3,21.5,7.5,1.3,1.5
2013-12-13,Cheniere Energy Partners LP Holdings ,CQH,Goldman Sachs/ Morgan Stanley/ Credit Suisse/ RBC Capital Markets,20.0,19.65,19.22,-3.9,-0.36,-0.78
2013-12-13,Fidelity & Guaranty Life ,FGL,Credit Suisse/ J.P. Morgan/ Jefferies/ Macquarie Capital/ RBC Capital Markets,17.0,18.92,18.86,10.94,1.92,1.86
2013-12-13,Nimble Storage  ,NMBL,Goldman Sachs/ Morgan Stanley,21.0,31.18,33.93,61.57,10.18,12.93
2013-12-18,AMC Entertainment Holdings ,AMC,Citigroup/ BofA Merrill Lynch/ Barclays/ Credit Suisse,18.0,19.2,18.9,5.0,1.2,0.9
2013-12-18,Cambridge Capital Acquisition ,CAMBU,EarlyBirdCapital,10.0,10.0,10.0,0.0,0.0,0.0
2014-01-10,GlycoMimetics ,GLYC,Jefferies/ Barclays,8.0,10.4,9.01,12.63,2.4,1.01
2014-01-15,"Cypress Energy Partners, L.P. ",CELP,Raymond James/ Baird/ Stifel,20.0,20.0,21.3,6.5,0.0,1.3
2014-01-16,American Capital Senior Floating ,ACSF,"Morgan Stanley/ Citigroup/ Deutsche Bank Securities/ Keefe, Bruyette & Woods (A Stifel Company)/ UBS Investment Bank",15.0,13.25,13.38,-10.8,-1.75,-1.62
2014-01-17,CHC Group Ltd. ,HELI,J.P. Morgan/ Barclays/ UBS Investment Bank,10.0,9.3,9.8,-2.0,-0.7,-0.2
2014-01-17,EP Energy  ,EPE,Credit Suisse/ J.P. Morgan/ Citigroup/ Goldman Sachs/ Morgan Stanley/ Deutsche Bank Securities/ UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets/ Wells Fargo Securities,20.0,19.9,18.08,-9.6,-0.1,-1.92
2014-01-17,Hennessy Capital Acquisition  (HCACU) (u),HCACU,Deutsche Bank Securities,10.0,10.0,10.02,0.2,0.0,0.02
2014-01-17,RSP Permian  ,RSPP,"Barclays/ J.P. Morgan/ Tudor, Pickering, Holt/ Raymond James/ RBC Capital Markets/ UBS Investment Bank",19.5,20.5,20.15,3.33,1.0,0.65
2014-01-23,Santander Consumer USA Holdings  ,SC,Citigroup/ J.P. Morgan/BofA Merrill Lynch/ Deutsche Bank Securities/ Santander/ Barclays/ Goldman Sachs/ Morgan Stanley/ RBC Capital Markets/ BMO Capital Markets/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,24.0,25.75,25.28,5.33,1.75,1.28
2014-01-24,Care.com ,CRCM,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,17.0,21.21,24.3,42.94,4.21,7.3
2014-01-24,Rice Energy ,RICE,Barclays/ Citigroup/ Goldman Sachs/ Wells Fargo Securities/ BMO Capital Markets/ RBC Capital Markets,21.0,21.9,21.9,4.29,0.9,0.9
2014-01-30,Celladon ,CLDN,Barclays,8.0,9.9,8.18,2.25,1.9,0.18
2014-01-30,Dicerna Pharmaceuticals ,DRNA,Jefferies/ Leerink Swann/ Stifel,15.0,30.0,46.0,206.67,15.0,31.0
2014-01-31,Cara Therapeutics ,CARA,Stifel/ Piper Jaffray,11.0,11.62,12.91,17.36,0.62,1.91
2014-01-31,Intrawest Resorts Holdings ,SNOW,Goldman Sachs/ Deutsche Bank Securities/ BofA Merrill Lynch,12.0,11.13,11.9,-0.83,-0.87,-0.1
2014-01-31,Malibu Boats ,MBUU,Raymond James/ Wells Fargo Securities,14.0,17.3,17.75,26.79,3.3,3.75
2014-01-31,New Home Company (The) ,NWHM,Citigroup/ J.P. Morgan/ Credit Suisse,11.0,11.5,12.2,10.91,0.5,1.2
2014-01-31,Trevena ,TRVN,Barclays/ Jefferies,7.0,7.11,6.5,-7.14,0.11,-0.5
2014-01-31,Ultragenyx Pharmaceutical ,RARE,J.P. Morgan/ Morgan Stanley,21.0,45.8,42.25,101.19,24.8,21.25
2014-02-05,Biocept  ,BIOC,Aegis Capital,10.0,10.0,9.4,-6.0,0.0,-0.6
2014-02-05,Auspex Pharmaceuticals  ,ASPX,Stifel/ BMO Capital Markets,11.0,14.49,15.66,42.36,3.49,4.66
2014-02-05,Continental Building Products ,CBPX,Citigroup/ Credit Suisse/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,14.0,14.66,15.19,8.5,0.66,1.19
2014-02-05,uniQure B.V.   ,QURE,Jefferies/ Leerink Swann,17.0,17.0,14.61,-14.06,0.0,-2.39
2014-02-05,Genocea Biosciences ,GNCA,Citigroup/ Cowen and Company,12.0,11.73,11.0,-8.33,-0.27,-1.0
2014-02-06,CM Finance ,CMFN,"Raymond James/ Keefe, Bruyette & Woods (A Stifel Company)/ Oppenheimer",15.0,15.3,15.81,5.4,0.3,0.81
2014-02-06,Egalet   ,EGLT,Stifel/ JMP Securities,12.0,12.5,12.0,0.0,0.5,0.0
2014-02-06,Eleven Biotherapeutics ,EBIO,Citigroup/ Cowen and Company/ Leerink Swann,10.0,10.38,10.85,8.5,0.38,0.85
2014-02-06,Ladder Capital ,LADR,Deutsche Bank Securities/ Citigroup/ Wells Fargo Securities/ BofA Merrill Lynch/ J.P. Morgan,17.0,16.5,16.99,-0.06,-0.5,-0.01
2014-02-06,Revance Therapeutics ,RVNC,Cowen and Company/ Piper Jaffray,16.0,21.0,26.85,67.81,5.0,10.85
2014-02-07,Argos Therapeutics  ,ARGS,Piper Jaffray/ Stifel/ JMP Securities,8.0,9.0,8.0,0.0,1.0,0.0
2014-02-11,NephroGenex ,NRX,Aegis Capital Corp,12.0,12.12,11.54,-3.83,0.12,-0.46
