Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2010-03-31,Scorpio Tankers ,STNG,Morgan Stanley/ Dahlman Rose,13.0,12.9,12.56,-3.38,-0.1,-0.44
2010-03-31,SS&C Technologies Holdings ,SSNC,J.P. Morgan,15.0,16.0,15.08,0.53,1.0,0.08
2010-03-31,Meru Networks ,MERU,BofA Merrill Lynch,15.0,20.0,19.17,27.8,5.0,4.17
2010-04-01,Primaerica ,PRI,Citi,15.0,19.15,19.65,31.0,4.15,4.65
2010-04-09,Tengion ,TNGN,Piper Jaffray/Leerink Swann,5.0,5.0,5.02,0.4,0.0,0.02
2010-04-09,Metals USA Holdings ,MUSA,Goldman Sachs,21.0,20.5,19.2,-8.57,-0.5,-1.8
2010-04-16,Chatham Lodging Trust ,CLDT,Barclays Capital,20.0,20.25,20.5,2.5,0.25,0.5
2010-04-22,Codexis ,CDXS,Credit Suisse/Goldman Sachs,13.0,13.0,13.26,2.0,0.0,0.26
2010-04-22,Global Geophysical Services ,GGS,Credit Suisse/Barclays Capital,12.26,12.0,12.0,-2.12,-0.26,-0.26
2010-04-22,DynaVox ,DVOX,Piper Jaffray/Jefferies,15.0,15.0,15.0,0.0,0.0,0.0
2010-04-22,Mitel Networks ,MITL,BofA Merrill Lynch/J.P. Morgan/UBS Investment Bank,14.0,12.75,12.3,-12.14,-1.25,-1.7
2010-04-22,SPS Commerce ,SPSC,Thomas Weisel Partners,12.0,14.0,13.6,13.33,2.0,1.6
2010-04-22,Alimera Sciences ,ALIM,Credit Suisse/Citi,11.0,11.0,11.0,0.0,0.0,0.0
2010-04-23,Excel Trust ,EXL,Morgan Stanley/Barclays Capital/UBS Investment Trust,14.0,13.25,13.3,-5.0,-0.75,-0.7
2010-04-29,Alpha and Omega Semiconductor ,AOSL,Deutsche Bank/Piper Jaffray,18.0,18.11,17.7,-1.67,0.11,-0.3
2010-04-29,Convio ,CNVO,Thomas Weisel Partners/ Piper Jaffray,9.0,10.0,10.24,13.78,1.0,1.24
2010-04-30,PAA Natural Gas Storage ,PNG,Barclays Capital/ UBS Investment Bank,21.5,22.5,23.25,8.14,1.0,1.75
2010-05-03,S&W Seed ,SANWU,Paulson Investment/Feltl,11.0,10.89,10.7,-2.73,-0.11,-0.3
2010-05-05,Douglas Dynamics ,PLOW,Credit Suisse/ Oppenheimer,11.25,22.26,11.29,0.36,11.01,0.04
2010-05-05,Charm Communications ,CHRM,Credit Suisse,9.5,9.51,9.4,-1.05,0.01,-0.1
2010-05-12,Niska Gas Storage ,NKA,Goldman Sachs/Morgan Stanley,20.5,19.5,19.1,-6.83,-1.0,-1.4
2010-05-13,Express ,EXPR,BofA Merrill Lynch/Goldman Sachs,17.0,17.05,16.75,-1.47,0.05,-0.25
2010-05-13,Roadrunner Transportation Services Holdings ,RRTS,Baird/ BB&T Capital Markets/ Stifel Nicolaus,14.0,14.0,13.75,-1.79,0.0,-0.25
2010-05-13,TeleNav ,TNAV,J.P. Morgan/Deutsche Bank,8.0,9.0,9.8,22.5,1.0,1.8
2010-05-14,Noranda Aluminum Holding ,NOR,BofA Merrill Lynch,8.0,8.3,8.8,10.0,0.3,0.8
2010-05-14,JinkoSolar Holding ,JKS,Credit Suisse,11.0,11.0,11.01,0.09,0.0,0.01
2010-05-14,Kingtone Wireless Soultion ,KONE,Roth Capital Partners,4.0,4.0,3.94,-1.5,0.0,-0.06
2010-05-20,57th Street Acquisiton ,SQTC.U,Morgan Joseph/Ladenburg Thalmann,10.0,10.0,10.0,0.0,0.0,0.0
2010-05-20,ReachLocal ,RLOC,J.P. Morgan/BofA Merrill Lynch,13.0,13.0,12.66,-2.62,0.0,-0.34
2010-05-20,Accretive Health ,AH,Goldman Sachs/Credit Suisse,12.0,12.0,12.74,6.17,0.0,0.74
2010-05-28,GenMark Diagnostics ,GNMK,Piper Jaffray,6.0,6.0,6.0,0.0,0.0,0.0
2010-06-11,China New Borun ,BOR N,Piper Jaffray,7.0,7.0,7.0,0.0,0.0,0.0
2010-06-15,CBOE Holdings ,CBOE,Goldman Sachs,29.0,32.8,32.49,12.03,3.8,3.49
2010-06-16,BroadSoft ,BSFT,Goldman Sachs/Jefferies,9.0,8.25,8.3,-7.78,-0.75,-0.7
2010-06-17,Higher One Holdings ,ONE,Goldman Sachs,12.0,13.5,14.27,18.92,1.5,2.27
2010-06-17,Oasis Petroleum ,OAS,Morgan Stanley/UBS Investment Bank,14.0,14.85,14.88,6.29,0.85,0.88
2010-06-18,China Intelligent Lighting & Electronics ,CIL,Rodman & Renshaw.WestPark Capital,3.0,2.85,2.95,-1.67,-0.15,-0.05
2010-06-18,Motricity ,MOTR,J.P. Morgan/Golldman Sachs,10.0,9.89,9.26,-7.4,-0.11,-0.74
2010-06-24,Hudson Pacific Properties ,HPP,BofA Merrill Lych/Barclays Capital/Morgan Stanley,17.0,17.5,17.4,2.35,0.5,0.4
2010-06-25,Fabrinet ,FN,Morgan Stanley/Deutsche Bank,10.0,10.95,10.75,7.5,0.95,0.75
2010-06-29,Tesla Motors ,TSLA,"Goldman, Sachs/ Morgan Stanley/ J.P. Morgan/ Deutsche Bank Securities",17.0,19.0,23.98,41.06,2.0,6.98
2010-06-30,HiSoft Technology International ,HSFT,Deutsche Bank,10.0,10.27,10.4,4.0,0.27,0.4
2010-07-01,AutoNavi Holdings ,AMAP,Goldman Sachs,12.5,13.02,13.5,8.0,0.52,1.0
2010-07-14,Oxford Resources Parntners L.P. ,OXF,Barclays Capital/Citi,18.5,18.25,17.96,-2.92,-0.25,-0.54
2010-07-15,SMART Technologies ,SMT,Morgan Stanley/ Deutsche Bank Securities/ RBC Capital Markets/ BofA Merrill Lynch/ Credit Suisse,17.0,17.5,17.05,0.29,0.5,0.05
2010-07-16,RealD ,RLD,J.P. Morgan/Piper Jaffrey,16.0,19.55,19.51,21.94,3.55,3.51
2010-07-16,Qlink Technologies ,QLIK,Morgan Stanley/Citi/J.P. Morgan,10.0,12.0,12.8,28.0,2.0,2.8
2010-07-20,Camelot Information Systems ,CIS,Goldman Sachs/Barclays Capital,11.0,10.01,10.65,-3.18,-0.99,-0.35
2010-07-22,Ameresco ,AMRC,BofA Merril Lynch,10.0,10.33,10.17,1.7,0.33,0.17
2010-07-22,Green Dot ,GDOT,J.P. Morgan/Morgan Stanlry,36.0,42.1,43.99,22.19,6.1,7.99
2010-07-29,Chesapeake Midstream Partners ,CHKM,Citi/Morgan Stanley,21.0,22.25,22.4,6.67,1.25,1.4
2010-07-29,Envestnet ,ENV,Morgan Stanley/UBS Investment Bank/Barclays Capital,9.0,9.35,10.23,13.67,0.35,1.23
2010-07-29,Molycorp ,MCP,Morgan Stanley/J.P. Morgan,14.0,13.25,12.85,-8.21,-0.75,-1.15
2010-08-03,Trius Therapeutics ,TSRX,Credit Suisse/Piper Jaffray,5.0,5.1,5.0,0.0,0.1,0.0
2010-08-05,Gordmans Stores,GMAD,Piper Jaffray/Wells Fargo Securities,11.0,11.0,11.03,0.27,0.0,0.03
2010-08-05,Ambow Education Holding,AMBO,J.P. Morgan/ Goldman Sachs (Asia),10.0,10.04,9.25,-7.5,0.04,-0.75
2010-08-06,Intralink Holdings ,IL,Morgan Stanley/Deutsche Bank/Credit Suisse,13.0,10.0,9.61,-26.08,-3.0,-3.39
2010-08-06,NuPathe ,PATH,Leerink Swann/Lazard Capital Markets,10.0,10.04,9.25,-7.5,0.04,-0.75
2010-08-06,NXP Semiconductors NV ,NXPI,Credit Suisse/Goldman Sachs/Morgan Stanley,14.0,11.0,11.03,-21.21,-3.0,-2.97
2010-08-11,China Kanghui Holdings ,KH,Morgan Stanley/ Piper Jaffray,10.25,10.29,12.16,18.63,0.04,1.91
2010-08-11,MediaMind Technologies ,MDMD,J.P. Morgan/Deutsche Bank,11.5,10.5,11.0,-4.35,-1.0,-0.5
2010-08-12,MakeMyTrip Limited ,MMYT,Morgan Stanley,14.0,22.0,26.45,88.93,8.0,12.45
2010-08-12,RealPage ,RP,Credit Suisse/ Deutsche Bank Securities,11.0,13.0,14.52,32.0,2.0,3.52
2010-08-13,Electromed,ELMD,Feltl and Company,4.0,4.05,3.98,-0.5,0.05,-0.02
2010-08-26,Whitestone REIT ,WSR,Wunderlich/Ladenburg Thalmann,12.0,12.0,11.5,-4.17,0.0,-0.5
2010-09-17,SouFun Holdings Limited ,SFUN,Deutsche Bank Securities/ Goldman Sachs (Asia) L.L.C,42.5,67.0,73.5,72.94,24.5,31.0
2010-09-23,CoreSite Realty ,COR,Citi/BofA Merrill Lynch/RBC Capital Markets,16.0,16.0,16.01,0.06,0.0,0.01
2010-09-24,SciQuest ,SQI,Stifel Nicolaus Weisel,9.5,11.5,12.27,29.16,2.0,2.77
2010-09-28,Amyris ,AMRS,Morgan Stanley/Goldman Sachs/J.P. Morgan,16.0,16.5,16.5,3.13,0.5,0.5
2010-09-28,Country Style Cooking Restaurant Chain ,CCSC,BofA Merrill Lynch/ Credit Suisse,16.5,25.0,24.3,47.27,8.5,7.8
2010-09-30,Rhino Resources Partners ,RNO,Raymond James,20.5,20.5,21.1,2.93,0.0,0.6
2010-09-30,Elster Group ,ELT,Deutsche Bank Securities,13.0,13.0,13.75,5.77,0.0,0.75
2010-10-01,China Ming Yang Wind Power Group ,MY,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,14.0,14.15,13.25,-5.36,0.15,-0.75
2010-10-01,ChinaCache International Holdings ,CCIH,BofA Merrill Lynch/ Deutsche Bank Securities,13.9,27.0,27.15,95.32,13.1,13.25
2010-10-01,The KEYW Holding ,KEYW,SunTrust Robinson Humphrey,10.0,10.3,11.38,13.8,0.3,1.38
2010-10-07,Daqo New Energy ,DQ,Morgan Stanley,9.5,9.98,10.25,7.89,0.48,0.75
2010-10-08,Ellington Financial LLC ,EFC,Deutsche Bank Securities,22.5,21.5,21.75,-3.33,-1.0,-0.75
2010-10-08,Cazador Acquisition Corporation ,CAZAU,Rodman & Renshaw,10.0,10.0,10.0,0.0,0.0,0.0
2010-10-08,Global Education & Technology Group ,GEDU,Credit Suisse/ BofA Merrill Lynch,10.5,12.0,12.2,16.19,1.5,1.7
2010-10-12,Hicks Acquisition Company 11 ,HKACU,Citi/Deutsche Bank,10.0,10.0,10.0,0.0,0.0,0.0
2010-10-14,Campus Crest Communities ,CCG,"Raymond James/ Citi/ Goldman, Sachs/ Barclay Capital/ RBC Capital Markets",12.5,12.5,12.51,0.08,0.0,0.01
2010-10-15,Body Central ,BODY,Piper Jaffray/ Jefferies & Company,13.0,14.49,13.0,0.0,1.49,0.0
2010-10-15,Tower International ,TOWR,Goldman Sachs/Citi/J.P. Morgan,13.0,13.55,13.0,0.0,0.55,0.0
2010-10-19,ShangPharma ,SHP,Citi/ J.P. Morgan,15.0,15.0,12.75,-15.0,0.0,-2.25
2010-10-19,NetSpend Holdings ,NTSP,"Goldman, Sachs/ BofA Merrill Lynch/ William Blair",11.0,13.0,13.0,18.18,2.0,2.0
2010-10-20,TAL Education Group ,XRS,Credit Suisse/ Morgan Stanley,10.0,14.0,15.0,50.0,4.0,5.0
2010-10-21,Bravo Brio Restaurant Group ,BBRG,Jefferies & Company/ Piper Jaffray/ Wells Fargo Securities,14.0,14.5,15.9,13.57,0.5,1.9
2010-10-21,Vera Bradley ,VRA,Baird/ Piper Jaffray,16.0,23.0,24.85,55.31,7.0,8.85
2010-10-22,Aegerion Pharmaceuticals ,AEGR,Leerink Swann/ Lazard Capital Markets,9.5,10.0,10.8,13.68,0.5,1.3
2010-10-26,Mecox Lane Limited ,MCOX,Credit Suisse/ UBS Investment Bank,11.0,17.5,17.26,56.91,6.5,6.26
2010-10-27,Pacific Biosciences of California ,PACB,J.P.Morgan/ Morgan Stanley,16.0,16.5,16.44,2.75,0.5,0.44
2010-10-28,ExamWorks Group ,EXAM,"Goldman, Sachs & Co./ Credit Suisse",16.0,16.75,16.8,5.0,0.75,0.8
